Ragnar;180
Hobart Fliers;159
Hong Kong AC;111
Macarthur Rams;111
Tokyo Racers;72
Aspiring Athletes;58
Team Telstra;55
Manila TC;52
Showtime;49
Atletica Tamriel;38
De snelle rakkers;35
Alexandria III;33
GatPact;32
Atletica Virtuosi Portici;27
LC_Pokémon;27
luckybastards;26
Churchfield Chics;25
Astoria Troy Walbrzych;25
ASD CorriCorri;25
Pharaons AC;23
Los Pitufos;22
Misty Mountain Homies;20
C N Poblenou;19
LG Potsdam;16
Angers club;16
Bruz Athletic Team;16
CDUP;16
Giovani lepri;15
Pro Sesto II;15
Chios Track Club;15
Torpedo Barbarossa;15
fokikos;14
Atletica Chiesina;14
Ohio Elite TC;14
Flying Cats;14
Stars;13
Tempe Track Club;13
Olympiakos CFP;13
Great Britain;13
Cult of Connacht;13
Black Sheep;12
Vettonia;11
ATLETISMO CASTELLONENSE;11
Burdel;10
AC Norteños;9
Deportivo Diez de Febrero;9
White Star;8
Team Sabba;8
Micione;8
Botafogo RJ;8
SG Endschuetz;8
Odessa;8
AK Kamnica;7
Komper;7
FantaPetaz;7
Allstars United;7
ASV;7
Vallekas Team;7
AC De Spirlamis;7
RUN FOR FREEDOM;7
Distrito 12;7
LAC Nordlord;6
AC Moribundus;6
Gernika Horobetz;6
trionfoligure;6
BCN’92;6
L'etoile;6
Baetulo Athletarum;6
Prado luengo;6
halestra;6
BA Athletic Club;6
chiavarese;6
Desportivo Evolução;5
Irvines AC;5
Les Cidrées;5
KS Miszcze;5
Candas;5
Achiless;5
Atletica sport Legnaro;5
Alstaden;4
Atletica Gradoli;4
LAV Rostock;4
TS Warriors;4
Connecticut Racing Club;4
CLUB ATHLETIC COMBARRO;4
AE Badalonès;4
KKS Lech Poznan;4
Athlé Pays de Bray;4
Pugliese;3
JáToNeumím;3
Voltrese;3
Titan Track Club;3
Blacksad team2;3
SC Brandenburg;3
AC Young Stars;3
252Aguçadoura;3
Athletic Club Valdainois;3
Academia Athens;3
PoLLiCe VeRDe;3
Catwalk;2
cuchifrito´s brown;2
1. FC Versandkostenfrei Potsdam;2
graviteu;2
AC Bohemians Tymákov;2
TUS Gold;1
Besaid Aurochs AT;1
C.D Atletico Bañezano;1
Kalju Athletes;1
Bourne Harriers;1
