Brianza Team;641034
Lupus in fabula Track & Field;627152
Rotten Athletic;536918
US ATLETICA VEDANO;522054
Atletica Corti e Veloci;317242
4PINI;313798
Anannasavanna Team;293835
ATHENA Nike;162683
Napoli;140384
ATLETICA MARCONI;138725
Torpedo Barbarossa;132254
Lucchirpool;126267
Atletica Virtuosi Portici;114949
Poststrutturalista Fallito;109173
Robur Bomber;108974
Atletico Babillo;106128
Artica;100203
Red Panda;98208
Fortitudo Vercelli;96516
The Hunters;95612
graviteu;95125
I biancoverdi;88197
Atletica MagoPaolone;86054
AV Parthenon;85938
ASS. ATL. REGGIO C.;85098
Polisportiva Casarosa;82132
comedians;75637
Taz Ciclone Atletica;75000
CUS TORINO;71861
Atletica Lussi;70566
Abracalabria;68338
g.s. Artiglio Athletics;60558
Gargiullo;59636
Atletica Alessandria;59322
Mikele;59290
Giovani lepri;53428
Atletica Rinella;52633
Atletic Ovni;52130
PoLLiCe VeRDe;51431
Voltrese;50881
nonno bandi track & field;49988
Piovese;49706
Atletica Gradoli;42853
Micione;40237
UPOL GAVIRATE;39375
baboom;33524
Monteverde Runners;31658
Mecha Dorada;31250
Kenya Runners;30000
Al Malik Arresh;28203
Rum&sigari;27679
Virtus Garibellini Siena;27631
Pro voyeurs;26868
Atletica Fagionegliese;26550
S.A.S;26194
Atletica Rogenese;23169
Atletica Borgo;22872
ErCobra's Athletics Team;21194
Atletica Buscate;21176
Tauhorse;20702
Mallen IF;20000
Panormus;18169
Gravel Team;16290
Atletica Petricci;15876
Hacksaws;15625
Lyon AC;15625
FantaPetaz;14964
Atletica Basilichese;14688
ASD CorriCorri;14353
Atletica Tre Colli Scicli;14081
Atletica Chiesina;13929
Diavoli Rossi;13860
Bergamo Atletica;13692
The Coach Team;12925
Angers club;12500
Atletica Buonappetito;11719
The Charlatans;11082
ICA;10185
Weymouth Bay Sharks;9375
Sants 2.0;9375
Monty Python;8670
GS Indomita;8295
Pro Sesto II;7884
Killhope Athletics;7500
San Benedetto dei Marsi;6771
LessoPearà;6036
Giulianone Roma;5948
SAV;5825
Deportivo Diez de Febrero;5804
CDUP;5357
Scussaseatletica;5121
Atletica Certosa;4844
Txuario;4688
Esploratori;4394
green power 2.0;4180
ASD Eretum;4167
De parkwacht;4167
Forti&Liberi;4049
Scatoleria Val di Peppa;3928
santacecilia;3580
TS Warriors;3580
Federica;3416
Fc Alisa;3125
Team Adriatico;3005
Lucchese Libertas;2885
Atletica sport Legnaro;2781
chiavarese;2500
ODZ Grabów;2500
Real Sociedad;2083
kampioenen;2083
Sin Prisa;2083
Il Pirata;1974
