Guns n' Roses;70806
Dark Angels;67414
LZS Ciepielowice;56042
LKS Toruń;55932
Jasiek Der Club;50925
Wilki Walbrzych;48301
KKS Lech Poznan;38851
Chemik Kędzierzyn-Koźle;36555
FC Weniniacy;34313
ZKS;34215
Siara Team;33233
SexyPistols;32551
Astoria Troy Walbrzych;31972
Slizgacze;31731
TLA Tomic Tychy;23131
Tlenkobary;22580
BMW Jelenia Gora;20839
FC Łolaboga;19530
FAJTLAPY;19397
Mdex Team;15536
Ivory Bydgoszcz;14149
MKS Polonia Przemyśl;11582
Powolni Tarczyn;8624
Bielany Orthalions;8373
Hacksaws;4761
Txuario;3052
KS Miszcze;2317
Caledonian;2280
Ste-Gemmes;2125
US ATLETICA VEDANO;2123
dojna;2081
Brianza Team;2074
Weymouth Bay Sharks;2055
Ouro;1972
Elan Demars;1781
Squadra Rossa;1559
Lyon AC;1230
Angers club;1210
Bourg D'Oisans runners;1183
LG Potsdam;1155
ASTRAPI;1131
GREEN ROCHAS;1128
av Passaat;1115
TSV Verne 08/15;1110
Diavoli Rossi;1069
AC Katowice;1065
Pietro's Athletes;1062
4PINI;1060
Huragan Bialobrzegi;1057
AZSUMCS Lublin;1010
LKS Kaliska;1006
Munich Running Club;983
AV Parthenon;973
Latino Sulechow;962
Tauhorse;941
Domstad Athletics;903
Mallen IF;805
Bumble Bees AC;753
Bobrzanie Bolesławiec;439
